+,+,+,.,+,.,+,+,+,.,.,+,.,+,.,+,.,.,.,.,.,.,+,+,+,.,.,+,+,+,+,.,.,.,+,+,.,.,+,.
.,+,.,+,+,.,.,+,+,.,.,+,.,+,.,.,+,.,+,.,+,+,+,.,+,.,+,+,.,.,.,+,+,+,.,.,+,.,.,.
+,.,.,+,+,.,+,+,+,+,+,+,+,+,+,+,+,.,+,+,+,+,.,+,.,.,+,+,+,+,.,.,.,+,+,+,+,+,+,.
+,+,+,+,.,+,.,+,+,+,.,.,.,+,+,+,+,+,+,+,+,+,+,+,.,.,+,+,+,.,.,+,+,.,.,+,+,+,.,.
.,+,+,+,.,.,.,+,+,+,+,.,+,.,+,+,.,.,+,+,+,+,.,.,.,+,+,+,.,.,+,+,+,.,.,+,+,+,+,.
.,.,+,.,.,.,+,+,+,+,.,+,+,+,.,+,.,.,.,.,.,+,+,.,.,.,+,+,+,+,+,.,.,.,.,+,.,+,.,+
+,.,+,.,+,.,+,.,.,+,.,.,+,.,.,.,.,.,+,+,.,+,+,.,+,+,+,+,+,+,+,.,.,+,.,.,+,.,.,+
+,+,.,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,.,+,.,+,+,.,+,+,+,+,+,+,+,.,+,+,+,.,.,+,+
+,.,+,+,+,+,.,.,+,+,.,+,+,+,+,+,+,+,+,+,.,.,.,+,+,+,+,+,.,.,+,+,.,+,.,+,.,.,.,+
+,.,+,+,.,.,.,+,+,+,.,.,+,+,+,+,.,.,+,+,.,.,.,+,.,+,+,.,.,+,.,+,+,+,+,+,.,+,+,.
.,.,.,.,+,+,+,.,.,.,+,+,.,.,+,+,+,.,+,+,+,+,+,+,+,.,+,.,+,.,.,.,+,.,.,.,.,+,+,+
+,.,+,.,.,+,+,.,.,.,+,+,.,+,+,+,+,+,.,.,.,.,+,+,+,+,.,+,.,+,.,+,.,.,+,+,.,.,+,+
+,.,.,+,+,+,+,+,+,+,+,.,.,.,.,+,+,.,+,+,.,+,+,.,.,+,+,+,+,+,+,+,.,.,.,.,.,+,+,.
+,.,.,+,+,.,+,.,.,+,.,.,+,+,+,.,.,.,+,.,.,+,+,.,+,+,.,+,+,+,+,+,.,.,+,+,.,.,.,+
.,.,+,+,.,+,+,+,+,+,+,+,+,+,+,+,+,.,+,.,.,.,.,+,+,+,.,+,+,.,.,+,+,.,+,+,+,+,.,.
.,.,+,+,+,+,+,+,+,.,.,.,+,+,+,+,.,+,+,.,.,+,+,+,+,+,+,+,.,+,+,.,.,.,.,+,+,+,+,+
+,+,+,+,+,.,.,+,+,+,+,+,+,+,+,.,+,.,+,.,.,.,.,.,+,+,+,.,.,.,.,.,.,+,+,+,+,+,.,+
+,.,+,.,+,.,+,+,+,.,+,+,+,+,+,+,.,+,.,+,+,.,+,.,.,.,+,+,+,.,+,+,.,.,+,+,.,.,.,+
.,+,.,+,+,.,+,+,+,.,.,+,.,+,+,+,+,+,.,+,+,+,.,.,+,+,+,.,+,.,+,.,+,.,+,.,.,+,.,+
+,.,+,+,.,.,+,+,+,+,+,+,+,+,+,.,+,+,.,+,+,+,.,+,+,+,+,.,+,+,+,.,.,.,.,.,+,+,.,.
